rutemisor,tipodte,fchemis,folio,rutrecep,nrolindet,nmbitem,qtyitem,prcitem,montoitem,cmnarecep,cmnaorigen
33612,33,2018-04-13,10460,109454,2,s/guia 23348    22/3/18,1.000000,3823.000000,3823.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-10-13,17431,768798,1,PALTA HASS KG,48.400000,1260.500000,61008.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-19,10504,764445,1,7018 1/8,1.000000,4453.000000,4453.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10504,764445,2,disco corte,1.000000,1050.000000,1050.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10504,764445,3,disco traslapo,1.000000,1260.000000,1260.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-11,10434,763266,1,"masisa 8mm 1,08x2,42x8",1.000000,5798.000000,5798.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-08-14,15973,768798,1,PALTA HASS KG,30.400000,2100.840000,63866.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-18,10496,765932,1,cornisas,4.000000,2436.000000,9744.0000,LIMACHE,VILLA ALEMANA
33612,33,2018-04-18,10496,765932,2,cubre junta,10.000000,1428.000000,14280.0000,LIMACHE,VILLA ALEMANA
33612,33,2018-04-13,10464,84697,1,s/guia      23312,1.000000,18991.000000,18991.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-17,10489,760082,1,fierro 5/16  8mm,4.000000,1470.000000,5880.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-17,10482,785905,1,TUBOS ZINC 6,3.000000,4453.000000,13359.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-17,10482,785905,2,GORRO ZINC 6,1.000000,2437.000000,2437.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-17,10482,785905,3,HUINCHA AISLAADORA 3X20,1.000000,1975.000000,1975.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-17,10482,785905,4,SILICONA ROJA ALTA TEMP,1.000000,2765.000000,2765.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-19,10500,93674,1,pino cepillado 1x4,3.000000,1638.000000,4914.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10500,93674,2,junquillo cuadrado 1x1,4.000000,924.000000,3696.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-09-10,16529,768798,1,PALTA HASS KG,30.400000,1596.640000,48538.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-18,10497,69008,1,kit soldar 3/32,1.000000,3781.000000,3781.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10497,69008,2,papel engomado,1.000000,747.000000,747.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10474,847742,1,estaño,1.000000,2016.000000,2016.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-16,10474,847742,2,abrazadera 02,1.000000,294.000000,294.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-16,10474,847742,3,1 mts cañeria m 1/2,1.000000,5294.000000,5294.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-16,10474,847742,4,sapo 1,1.000000,2478.000000,2478.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-16,10474,847742,5,tee broce 1,1.000000,2773.000000,2773.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-16,10474,847742,6,reduccion1x 1/2,1.000000,1050.000000,1050.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-16,10474,847742,7,codo 1x1/2,1.000000,1512.000000,1512.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-17,10488,102183,1,escobillon oso,1.000000,1638.000000,1638.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-17,10488,102183,2,yeso saco,1.000000,4159.000000,4159.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-17,10488,102183,3,lienza mts,30.000000,84.000000,2520.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-17,10488,102183,4,copla 110,1.000000,1596.000000,1596.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-17,10486,760120,1,tapones 3/4 bronce,6.000000,336.000000,2016.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-17,10486,760120,2,tapones 1/2 bronce,10.000000,294.000000,2940.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-13,10462,761205,1,vulcanita 10,2.000000,4033.000000,8066.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-13,10462,761205,2,caja tornillos 2,5.000000,2100.000000,10500.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-17,10484,768122,1,TERCIADO EXTRUCTURAL 18,1.000000,16386.000000,16386.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-14,10466,786598,1,caballete zinc,1.000000,5483.000000,5483.0000,COQUIMBO,VILLA ALEMANA
33612,33,2018-04-14,10466,786598,2,clavo techo 2 1/2,40.000000,33.000000,1320.0000,COQUIMBO,VILLA ALEMANA
33612,33,2018-04-12,10446,969274,1,S/ORDEN COMP 322 18/1/18,1.000000,5361.000000,5361.0000,VILLA ALEMANA,VILLA ALEMANA
