Etiquetas de fila;aceite;agua;arroz;azucar;bebida;cafe;carne;Categorias;celular;cereal;chocolate;cocina;condimento;conserva;construccion;detergente;dulce;embutido;fideo;fiesta;fruta;helado;higiene;jugo;lacteo;legumbre;licor;limpieza;marisco;mascota;otros;pan;papel higienico;pollo;postre;preservativo;promocion;pure;roceador;sacarina;sal;salsa;servicio;snack;sopa;te;utiles;verdura;vessi;vestuario;vinagre;yogurt
157237;0;0;0;0;0.003067485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
157736;0;0;0;0;0.036809816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011627907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
157737;0;0.024752475;0;0;0.003067485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
158275;0;0.01980198;0;0;0.033742331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
158276;0;0.004950495;0;0;0.009202454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023255814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
158851;0;0;0;0;0.04601227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
158852;0;0.024752475;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.034883721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
161518;0;0.02970297;0;0;0.027607362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
161519;0;0.024752475;0;0;0.015337423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
162210;0;0.004950495;0;0;0.033742331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011627907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
162211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.034883721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
162674;0;0.034653465;0;0;0.015337423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.011627907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
162675;0;0;0;0;0.003067485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
163525;0;0.044554455;0;0;0.012269939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007751938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
166070;0;0.024752475;0;0;0.024539877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007751938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
166071;0;0;0;0;0.003067485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.027131783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
170760;0;0.014851485;0;0;0.018404908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.023255814;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00952381;0;0;0;0;0;0;0;0;0
